"PROBE_ID"	"Symbol"
"195"	"ILMN_1716057"	"CAPN2"
"196"	"ILMN_1782897"	"CAPRIN1"
"197"	"ILMN_1712532"	"CARD9"
"198"	"ILMN_1809477"	"CARHSP1"
"199"	"ILMN_1680134"	"CARM1"
"200"	"ILMN_2326509"	"CASP1"
"201"	"ILMN_2326512"	"CASP1"
"202"	"ILMN_2373763"	"CASP7"
"203"	"ILMN_2151739"	"CAT"
"204"	"ILMN_2149226"	"CAV1"
"205"	"ILMN_1687583"	"CAV1"
"206"	"ILMN_1658835"	"CAV2"
"207"	"ILMN_1685580"	"CBLB"
"208"	"ILMN_1813400"	"CBR4"
"209"	"ILMN_1677239"	"CCDC14"
"210"	"ILMN_1662318"	"CCDC59"
"211"	"ILMN_1803338"	"CCDC80"
"212"	"ILMN_1715662"	"CCDC80"
"213"	"ILMN_1669982"	"CCDC85A"
"214"	"ILMN_1720048"	"CCL2"
"215"	"ILMN_2098126"	"CCL5"
"216"	"ILMN_1773352"	"CCL5"
"217"	"ILMN_1772964"	"CCL8"
"218"	"ILMN_2374425"	"CCNE1"
"219"	"ILMN_2384785"	"CCNE1"
"220"	"ILMN_1795852"	"CCNE1"
"221"	"ILMN_2228732"	"CCNG2"
"222"	"ILMN_2261784"	"CCNY"
"223"	"ILMN_1773992"	"CCRL1"
"224"	"ILMN_1726589"	"CD248"
"225"	"ILMN_1803429"	"CD44"
"226"	"ILMN_2348788"	"CD44"
"227"	"ILMN_1724789"	"CD59"
"228"	"ILMN_2256765"	"CDC16"
"229"	"ILMN_2339796"	"CDC16"
"230"	"ILMN_2338323"	"CDC25B"
"231"	"ILMN_1764927"	"CDC42EP1"
"232"	"ILMN_1652777"	"CDC42EP2"
"233"	"ILMN_1736327"	"CDC42EP3"
"234"	"ILMN_1737184"	"CDCA7"
"235"	"ILMN_1672611"	"CDH11"
"236"	"ILMN_1779228"	"CDH2"
"237"	"ILMN_1766675"	"CDH6"
"238"	"ILMN_1730928"	"CDK5R1"
"239"	"ILMN_3307950"	"CDK5RAP3"
"240"	"ILMN_1802615"	"CDK6"
"241"	"ILMN_1784602"	"CDKN1A"
"242"	"ILMN_2196347"	"CDKN1B"
"243"	"ILMN_1722811"	"CDKN1B"
"244"	"ILMN_2376723"	"CDKN2B"
"245"	"ILMN_2234187"	"CDO1"
"246"	"ILMN_1693014"	"CEBPB"
"247"	"ILMN_1782050"	"CEBPD"
"248"	"ILMN_1734176"	"CGA"
"249"	"ILMN_2387090"	"CGGBP1"
"250"	"ILMN_1730229"	"CGNL1"
"251"	"ILMN_1741021"	"CH25H"
"252"	"ILMN_1658411"	"CHD4"
"253"	"ILMN_1762972"	"CHD9"
"254"	"ILMN_2395240"	"CHEK2"
"255"	"ILMN_1763265"	"CHMP1B"
"256"	"ILMN_1678493"	"CHN1"
"257"	"ILMN_1776337"	"CHORDC1"
"258"	"ILMN_1674661"	"CIRBP"
"259"	"ILMN_1663092"	"CITED2"
"260"	"ILMN_1754103"	"CLDN11"
"261"	"ILMN_1725338"	"CLDN23"
"262"	"ILMN_2142185"	"CLEC14A"
"263"	"ILMN_1796423"	"CLIC3"
"264"	"ILMN_2404085"	"CLIP1"
"265"	"ILMN_1789733"	"CLIP3"
"266"	"ILMN_1689400"	"CLK1"
"267"	"ILMN_1695853"	"CLK4"
"268"	"ILMN_1656248"	"CLMP"
"269"	"ILMN_1709634"	"CMBL"
"270"	"ILMN_1783621"	"CMPK2"
"271"	"ILMN_1710124"	"CMTM8"
"272"	"ILMN_1770290"	"CNN2"
