"PROBE_ID"	"Symbol"
"329"	"ILMN_2094905"	"COMMD10"
"330"	"ILMN_1677636"	"COMP"
"331"	"ILMN_1666364"	"COQ10A"
"332"	"ILMN_1745954"	"CORO1C"
"333"	"ILMN_1813746"	"CORO2A"
"334"	"ILMN_1690170"	"CRABP2"
"335"	"ILMN_1841334"	"CREB1"
"336"	"ILMN_1751097"	"CREB3L2"
"337"	"ILMN_1731714"	"CREB5"
"338"	"ILMN_2146418"	"CRIM1"
"339"	"ILMN_1694432"	"CRIP2"
"340"	"ILMN_2140700"	"CRIPAK"
"341"	"ILMN_1789541"	"CRMP1"
"342"	"ILMN_1760593"	"CRY1"
"343"	"ILMN_1729216"	"CRYAB"
"344"	"ILMN_1806787"	"CSDC2"
"345"	"ILMN_1775432"	"CSMD2"
"346"	"ILMN_1811921"	"CSRP1"
"347"	"ILMN_1690386"	"CSRP2BP"
"348"	"ILMN_1728163"	"CTDSP1"
"349"	"ILMN_1692962"	"CTDSP2"
"350"	"ILMN_2392189"	"CTDSPL"
"351"	"ILMN_2115125"	"CTGF"
"352"	"ILMN_1699829"	"CTGF"
"353"	"ILMN_1725090"	"CTHRC1"
"354"	"ILMN_2117508"	"CTHRC1"
"355"	"ILMN_1748352"	"CTSL2"
"356"	"ILMN_1676665"	"CUEDC1"
"357"	"ILMN_1686194"	"CWC27"
"358"	"ILMN_1803825"	"CXCL12"
"359"	"ILMN_1791447"	"CXCL12"
"360"	"ILMN_1689111"	"CXCL12"
"361"	"ILMN_1728478"	"CXCL16"
"362"	"ILMN_1798360"	"CXCR7"
"363"	"ILMN_1703279"	"CXorf57"
"364"	"ILMN_3307729"	"CXXC5"
"365"	"ILMN_1745256"	"CXXC5"
"366"	"ILMN_1693338"	"CYP1B1"
"367"	"ILMN_1758731"	"CYP2J2"
"368"	"ILMN_2188264"	"CYR61"
"369"	"ILMN_1694084"	"CYTH1"
"370"	"ILMN_2403852"	"CYTH1"
"371"	"ILMN_2160727"	"CYTH3"
"372"	"ILMN_2206272"	"D2HGDH"
