"PROBE_ID"	"Symbol"
"285"	"ILMN_1737818"	"C12orf43"
"286"	"ILMN_1791792"	"C12orf5"
"287"	"ILMN_1716382"	"C12orf75"
"288"	"ILMN_1713744"	"C14orf132"
"289"	"ILMN_1711543"	"C14orf169"
"290"	"ILMN_1807031"	"C14orf28"
"291"	"ILMN_1686082"	"C14orf79"
"292"	"ILMN_2189406"	"C15orf38"
"293"	"ILMN_1747217"	"C15orf41"
"294"	"ILMN_1805410"	"C15orf48"
"295"	"ILMN_1775330"	"C15orf52"
"296"	"ILMN_2141118"	"C15orf59"
"297"	"ILMN_1717324"	"C16orf52"
"298"	"ILMN_1690911"	"C16orf87"
"299"	"ILMN_1759325"	"C16orf91"
"300"	"ILMN_3237452"	"C17orf100"
"301"	"ILMN_1707292"	"C17orf67"
"302"	"ILMN_1711823"	"C17orf70"
"303"	"ILMN_3247139"	"C17orf96"
"304"	"ILMN_1707137"	"C17orf97"
"305"	"ILMN_1713803"	"C17orf97"
"306"	"ILMN_1805998"	"C18orf21"
"307"	"ILMN_1719097"	"C18orf8"
"308"	"ILMN_1703695"	"C19orf12"
"309"	"ILMN_1750400"	"C19orf66"
"310"	"ILMN_2077886"	"C1orf109"
"311"	"ILMN_1674817"	"C1orf115"
"312"	"ILMN_1754894"	"C1orf162"
"313"	"ILMN_1657683"	"C1orf198"
"314"	"ILMN_1793543"	"C1orf51"
"315"	"ILMN_1729288"	"C1QTNF6"
"316"	"ILMN_2049727"	"C20orf111"
"317"	"ILMN_1793002"	"C20orf196"
"318"	"ILMN_2283388"	"C20orf24"
"319"	"ILMN_1776147"	"C21orf59"
"320"	"ILMN_1698166"	"C21orf91"
"321"	"ILMN_2110496"	"C21orf91"
"322"	"ILMN_1795991"	"C22orf28"
"323"	"ILMN_1778132"	"C2CD2L"
"324"	"ILMN_1682572"	"C2CD5"
"325"	"ILMN_1701131"	"C2orf49"
"326"	"ILMN_1787526"	"C2orf88"
"327"	"ILMN_2224486"	"C3orf14"
"328"	"ILMN_1761882"	"C3orf14"
"329"	"ILMN_2078264"	"C3orf38"
"330"	"ILMN_1697742"	"C3orf38"
"331"	"ILMN_2184612"	"C3orf52"
"332"	"ILMN_1694798"	"C5orf28"
