"PROBE_ID"	"Symbol"
"336"	"ILMN_1706502"	"EIF2AK2"
"337"	"ILMN_1665717"	"EIF2S3"
"338"	"ILMN_1685722"	"EIF4A2"
"339"	"ILMN_1655497"	"EIF4B"
"340"	"ILMN_1691559"	"ELF2"
"341"	"ILMN_1655930"	"ELL2"
"342"	"ILMN_1763091"	"ELMSAN1"
"343"	"ILMN_1697268"	"EMILIN2"
"344"	"ILMN_1729455"	"EML1"
"345"	"ILMN_1772644"	"EML3"
"346"	"ILMN_1801616"	"EMP1"
"347"	"ILMN_2187746"	"EMX2"
"348"	"ILMN_1716552"	"ENAH"
"349"	"ILMN_2370296"	"ENAH"
"350"	"ILMN_1779147"	"ENC1"
"351"	"ILMN_1700888"	"ENPP1"
"352"	"ILMN_3244583"	"EPB41L4A-AS1"
"353"	"ILMN_1654609"	"EPB41L4A-AS1"
"354"	"ILMN_1675797"	"EPDR1"
"355"	"ILMN_1651699"	"EPS8"
"356"	"ILMN_2388547"	"EPSTI1"
"357"	"ILMN_1773262"	"ESM1"
"358"	"ILMN_1761159"	"ESYT1"
"359"	"ILMN_2122103"	"ETS1"
"360"	"ILMN_1789596"	"ETV6"
"361"	"ILMN_1702973"	"EVA1A"
"362"	"ILMN_3271098"	"EVA1A"
"363"	"ILMN_3194638"	"EVA1A"
"364"	"ILMN_1730622"	"EVL"
"365"	"ILMN_1742866"	"F2R"
"366"	"ILMN_1728923"	"F2RL2"
"367"	"ILMN_2129572"	"F3"
"368"	"ILMN_1714418"	"FAM101B"
"369"	"ILMN_1810725"	"FAM129A"
"370"	"ILMN_1667966"	"FAM129A"
"371"	"ILMN_1661755"	"FAM129B"
"372"	"ILMN_2408576"	"FAM129B"
"373"	"ILMN_1658160"	"FAM156A"
"374"	"ILMN_3244110"	"FAM156B"
"375"	"ILMN_3231638"	"FAM160B1"
"376"	"ILMN_1752927"	"FAM160B1"
"377"	"ILMN_1749868"	"FAM171A1"
"378"	"ILMN_1654542"	"FAM172A"
